Version,Task,Alt,Representative_RespondentID,n_respondents_in_version,WaitTime_months,Efficacy,SideEffects,Cash_RMB,Origin
1,1,A,2,250,0,0.5,2,200,Imported
1,1,B,2,250,3,0.95,2,50,Domestic
1,2,A,2,250,3,0.7,3,50,Domestic
1,2,B,2,250,6,0.5,1,800,Imported
1,3,A,2,250,1,0.7,3,50,Domestic
1,3,B,2,250,1,0.95,2,200,Domestic
1,4,A,2,250,0,0.5,1,800,Imported
1,4,B,2,250,6,0.95,2,200,Imported
1,5,A,2,250,6,0.7,3,50,Domestic
1,5,B,2,250,3,0.95,1,800,Domestic
1,6,A,2,250,0,0.7,3,200,Imported
1,6,B,2,250,1,0.5,1,800,Imported
2,1,A,3,241,0,0.5,2,800,Domestic
2,1,B,3,241,6,0.7,3,50,Imported
2,2,A,3,241,3,0.7,1,200,Domestic
2,2,B,3,241,0,0.5,2,50,Domestic
2,3,A,3,241,3,0.7,3,200,Imported
2,3,B,3,241,1,0.95,1,800,Imported
2,4,A,3,241,0,0.95,3,800,Imported
2,4,B,3,241,3,0.7,3,200,Domestic
2,5,A,3,241,1,0.5,1,50,Domestic
2,5,B,3,241,6,0.95,1,200,Domestic
2,6,A,3,241,6,0.95,2,800,Imported
2,6,B,3,241,1,0.5,2,50,Imported
3,1,A,7,222,1,0.5,2,800,Imported
3,1,B,7,222,0,0.7,1,50,Domestic
3,2,A,7,222,3,0.5,3,800,Imported
3,2,B,7,222,6,0.7,1,200,Domestic
3,3,A,7,222,1,0.95,3,200,Domestic
3,3,B,7,222,1,0.7,1,50,Imported
3,4,A,7,222,3,0.95,3,800,Imported
3,4,B,7,222,0,0.95,2,50,Domestic
3,5,A,7,222,0,0.5,3,50,Domestic
3,5,B,7,222,3,0.7,2,200,Imported
3,6,A,7,222,6,0.95,1,800,Imported
3,6,B,7,222,6,0.5,2,200,Domestic
4,1,A,513,95,6,0.95,2,50,Domestic
4,1,B,513,95,1,0.5,2,200,Domestic
4,2,A,513,95,6,0.7,1,50,Domestic
4,2,B,513,95,0,0.95,2,50,Imported
4,3,A,513,95,1,0.5,2,50,Domestic
4,3,B,513,95,0,0.5,3,50,Imported
4,4,A,513,95,1,0.5,1,50,Imported
4,4,B,513,95,0,0.95,1,800,Domestic
4,5,A,513,95,0,0.95,2,800,Domestic
4,5,B,513,95,0,0.7,1,800,Domestic
4,6,A,513,95,1,0.7,2,800,Imported
4,6,B,513,95,6,0.7,1,800,Imported
5,1,A,514,83,3,0.95,3,200,Imported
5,1,B,514,83,3,0.5,2,200,Imported
5,2,A,514,83,3,0.5,3,200,Imported
5,2,B,514,83,6,0.7,2,200,Domestic
5,3,A,514,83,3,0.5,3,50,Domestic
5,3,B,514,83,6,0.95,3,200,Imported
5,4,A,514,83,1,0.95,2,800,Imported
5,4,B,514,83,3,0.5,1,200,Domestic
5,5,A,514,83,3,0.7,1,800,Imported
5,5,B,514,83,3,0.5,1,800,Domestic
5,6,A,514,83,6,0.7,1,50,Imported
5,6,B,514,83,6,0.7,2,50,Domestic
6,1,A,512,80,1,0.95,3,200,Imported
6,1,B,512,80,6,0.7,2,800,Domestic
6,2,A,512,80,3,0.7,1,800,Domestic
6,2,B,512,80,0,0.5,1,200,Imported
6,3,A,512,80,0,0.5,3,800,Imported
6,3,B,512,80,6,0.7,1,200,Imported
6,4,A,512,80,1,0.95,1,200,Domestic
6,4,B,512,80,3,0.5,3,200,Domestic
6,5,A,512,80,3,0.7,2,50,Domestic
6,5,B,512,80,3,0.7,2,50,Imported
6,6,A,512,80,6,0.5,3,50,Domestic
6,6,B,512,80,0,0.95,3,200,Imported
7,1,A,515,55,1,0.7,3,200,Domestic
7,1,B,515,55,1,0.95,3,800,Domestic
7,2,A,515,55,0,0.95,3,50,Domestic
7,2,B,515,55,1,0.95,3,50,Imported
7,3,A,515,55,6,0.95,1,50,Imported
7,3,B,515,55,1,0.7,3,800,Domestic
7,4,A,515,55,0,0.5,2,800,Imported
7,4,B,515,55,1,0.7,2,200,Imported
7,5,A,515,55,0,0.5,3,200,Imported
7,5,B,515,55,1,0.95,1,800,Domestic
7,6,A,515,55,0,0.95,3,50,Imported
7,6,B,515,55,0,0.95,3,800,Domestic
8,1,A,1,1,2,0.5,2,800,Domestic
8,1,B,1,1,6,0.7,3,50,Imported
8,2,A,1,1,3,0.7,1,200,Domestic
8,2,B,1,1,0,0.5,2,50,Domestic
8,3,A,1,1,3,0.7,3,200,Imported
8,3,B,1,1,1,0.95,1,800,Imported
8,4,A,1,1,0,0.95,3,800,Imported
8,4,B,1,1,3,0.7,3,200,Domestic
8,5,A,1,1,1,0.5,1,50,Domestic
8,5,B,1,1,6,0.95,1,200,Domestic
8,6,A,1,1,6,0.95,2,800,Imported
8,6,B,1,1,1,0.5,2,50,Imported
