Version,Task,Alt,n_respondents_in_version,WaitTime_months,Efficacy,SideEffects,Cash_RMB,Origin
1,1,A,250,0,0.5,2,200,Imported
1,1,B,250,3,0.95,2,50,Domestic
1,2,A,250,3,0.7,3,50,Domestic
1,2,B,250,6,0.5,1,800,Imported
1,3,A,250,1,0.7,3,50,Domestic
1,3,B,250,1,0.95,2,200,Domestic
1,4,A,250,0,0.5,1,800,Imported
1,4,B,250,6,0.95,2,200,Imported
1,5,A,250,6,0.7,3,50,Domestic
1,5,B,250,3,0.95,1,800,Domestic
1,6,A,250,0,0.7,3,200,Imported
1,6,B,250,1,0.5,1,800,Imported
2,1,A,241,0,0.5,2,800,Domestic
2,1,B,241,6,0.7,3,50,Imported
2,2,A,241,3,0.7,1,200,Domestic
2,2,B,241,0,0.5,2,50,Domestic
2,3,A,241,3,0.7,3,200,Imported
2,3,B,241,1,0.95,1,800,Imported
2,4,A,241,0,0.95,3,800,Imported
2,4,B,241,3,0.7,3,200,Domestic
2,5,A,241,1,0.5,1,50,Domestic
2,5,B,241,6,0.95,1,200,Domestic
2,6,A,241,6,0.95,2,800,Imported
2,6,B,241,1,0.5,2,50,Imported
3,1,A,222,1,0.5,2,800,Imported
3,1,B,222,0,0.7,1,50,Domestic
3,2,A,222,3,0.5,3,800,Imported
3,2,B,222,6,0.7,1,200,Domestic
3,3,A,222,1,0.95,3,200,Domestic
3,3,B,222,1,0.7,1,50,Imported
3,4,A,222,3,0.95,3,800,Imported
3,4,B,222,0,0.95,2,50,Domestic
3,5,A,222,0,0.5,3,50,Domestic
3,5,B,222,3,0.7,2,200,Imported
3,6,A,222,6,0.95,1,800,Imported
3,6,B,222,6,0.5,2,200,Domestic
4,1,A,95,6,0.95,2,50,Domestic
4,1,B,95,1,0.5,2,200,Domestic
4,2,A,95,6,0.7,1,50,Domestic
4,2,B,95,0,0.95,2,50,Imported
4,3,A,95,1,0.5,2,50,Domestic
4,3,B,95,0,0.5,3,50,Imported
4,4,A,95,1,0.5,1,50,Imported
4,4,B,95,0,0.95,1,800,Domestic
4,5,A,95,0,0.95,2,800,Domestic
4,5,B,95,0,0.7,1,800,Domestic
4,6,A,95,1,0.7,2,800,Imported
4,6,B,95,6,0.7,1,800,Imported
5,1,A,83,3,0.95,3,200,Imported
5,1,B,83,3,0.5,2,200,Imported
5,2,A,83,3,0.5,3,200,Imported
5,2,B,83,6,0.7,2,200,Domestic
5,3,A,83,3,0.5,3,50,Domestic
5,3,B,83,6,0.95,3,200,Imported
5,4,A,83,1,0.95,2,800,Imported
5,4,B,83,3,0.5,1,200,Domestic
5,5,A,83,3,0.7,1,800,Imported
5,5,B,83,3,0.5,1,800,Domestic
5,6,A,83,6,0.7,1,50,Imported
5,6,B,83,6,0.7,2,50,Domestic
6,1,A,80,1,0.95,3,200,Imported
6,1,B,80,6,0.7,2,800,Domestic
6,2,A,80,3,0.7,1,800,Domestic
6,2,B,80,0,0.5,1,200,Imported
6,3,A,80,0,0.5,3,800,Imported
6,3,B,80,6,0.7,1,200,Imported
6,4,A,80,1,0.95,1,200,Domestic
6,4,B,80,3,0.5,3,200,Domestic
6,5,A,80,3,0.7,2,50,Domestic
6,5,B,80,3,0.7,2,50,Imported
6,6,A,80,6,0.5,3,50,Domestic
6,6,B,80,0,0.95,3,200,Imported
7,1,A,55,1,0.7,3,200,Domestic
7,1,B,55,1,0.95,3,800,Domestic
7,2,A,55,0,0.95,3,50,Domestic
7,2,B,55,1,0.95,3,50,Imported
7,3,A,55,6,0.95,1,50,Imported
7,3,B,55,1,0.7,3,800,Domestic
7,4,A,55,0,0.5,2,800,Imported
7,4,B,55,1,0.7,2,200,Imported
7,5,A,55,0,0.5,3,200,Imported
7,5,B,55,1,0.95,1,800,Domestic
7,6,A,55,0,0.95,3,50,Imported
7,6,B,55,0,0.95,3,800,Domestic
8,1,A,1,2,0.5,2,800,Domestic
8,1,B,1,6,0.7,3,50,Imported
8,2,A,1,3,0.7,1,200,Domestic
8,2,B,1,0,0.5,2,50,Domestic
8,3,A,1,3,0.7,3,200,Imported
8,3,B,1,1,0.95,1,800,Imported
8,4,A,1,0,0.95,3,800,Imported
8,4,B,1,3,0.7,3,200,Domestic
8,5,A,1,1,0.5,1,50,Domestic
8,5,B,1,6,0.95,1,200,Domestic
8,6,A,1,6,0.95,2,800,Imported
8,6,B,1,1,0.5,2,50,Imported
